Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-10-07,8.13428,9.6059,7.74699,9.6059,731.1965811625
2014-10-08,9.6059,9.91525,9.6059,9.6059,406.4444444255
2014-10-09,9.68324,9.68324,7.74699,7.74699,487.1282051055
2014-10-10,7.82462,9.37388,7.74699,9.37388,1862.7863246995
2014-10-13,9.29624,9.29624,8.98659,9.29624,1076.1196580695
2014-10-14,8.36679,9.29624,7.66955,9.29624,329.7948717795
2014-10-16,8.36679,9.21881,6.73979,6.73979,4035.1965810085
2014-10-17,6.97211,7.74699,6.97211,7.74699,2948.991452854
2014-10-21,6.97211,7.66955,6.97211,7.66955,25.2136752125
2014-10-27,6.89467,6.97211,6.89467,6.97211,70.598290595
2014-11-04,6.97211,7.66955,6.19763,7.66955,50.427350425
2014-11-05,7.43704,7.66955,7.43704,7.66955,65.5555555525
2014-11-06,6.58502,6.58502,6.58502,6.58502,65.5555555525
2014-11-07,6.58502,6.97211,6.58502,6.97211,1477.5213674525
2014-11-10,6.97211,6.97211,6.58502,6.58502,81.6923076885
2014-11-13,6.97211,9.21881,6.97211,9.21881,1390.7863247215
2014-11-14,9.21881,9.68324,9.21881,9.68324,4492.068375859
2014-11-17,9.29624,10.8453,9.29624,10.8453,3969.641025456
2014-11-18,10.8453,11.0783,10.8453,11.0783,8446.5811961875
2014-11-19,10.768,10.8453,10.2256,10.2256,14435.33333266
2014-11-20,10.2256,10.6906,10.1483,10.3039,370.1367521195
2014-11-21,10.1483,11.0783,9.99358,9.99358,3487.555555393
2014-11-24,10.0709,10.4586,9.99358,10.3803,5019.5384613045
2014-11-25,10.4586,10.4586,9.06403,9.06403,933.914529871
2014-11-26,8.52157,8.52157,8.52157,8.52157,65.5555555525
2014-11-27,7.59211,9.99358,6.19763,9.99358,487.1282051055
2014-11-28,8.52157,9.29624,8.52157,9.29624,15.1282051275
2014-12-01,9.29624,10.4586,9.29624,10.4586,50.427350425
2014-12-02,10.4586,10.4586,10.4586,10.4586,314.666666652
2014-12-10,9.68324,9.68324,8.13428,8.13428,162.3760683685
2014-12-11,8.36679,9.99358,8.36679,8.90915,568.820512794
2014-12-12,8.90915,8.90915,8.52157,8.52157,837.094017055
2014-12-15,8.90915,8.90915,8.90915,8.90915,25.2136752125
2014-12-16,9.6059,9.6059,9.6059,9.6059,65.5555555525
2014-12-17,9.6059,9.91525,9.45122,9.91525,177.504273496
2014-12-18,9.68324,9.68324,8.67664,8.67664,761.4529914175
2014-12-19,8.67664,10.0709,8.52157,10.0709,294.495726482
2014-12-22,9.68324,9.99358,9.68324,9.99358,9085.9999995765
2014-12-29,10.0709,10.4586,9.91525,9.91525,471.999999978
2014-12-30,9.14137,11.1557,8.21171,11.1557,1548.1196580475
2015-01-02,9.68324,9.83891,9.68324,9.83891,294.495726482
2015-01-07,8.75408,8.75408,7.74699,7.90196,456.8717948505
2015-01-09,8.52157,8.52157,8.13428,8.13428,11329.00854648
2015-01-12,8.44423,8.44423,8.13428,8.13428,2055.418803323
2015-01-13,7.3596,7.90196,6.97211,7.90196,694.8888888565
2015-01-16,8.90915,8.90915,8.90915,8.90915,55.4700854675
